actor_id,first_name,last_name,last_update,film_id,last_update,title,description
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",1,"2020-12-23 07:13:43","ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",23,"2020-12-23 07:13:43","ANACONDA CONFESSIONS","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",25,"2020-12-23 07:13:43","ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",106,"2020-12-23 07:13:43","BULWORTH COMMANDMENTS","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",140,"2020-12-23 07:13:43","CHEAPER CLYDE","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",166,"2020-12-23 07:13:43","COLOR PHILADELPHIA","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",277,"2020-12-23 07:13:43","ELEPHANT TROJAN","A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",361,"2020-12-23 07:13:43","GLEAMING JAWBREAKER","A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",438,"2020-12-23 07:13:43","HUMAN GRAFFITI","A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",499,"2020-12-23 07:13:43","KING EVOLUTION","A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",506,"2020-12-23 07:13:43","LADY STAGE","A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",509,"2020-12-23 07:13:43","LANGUAGE COWBOY","A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",605,"2020-12-23 07:13:43","MULHOLLAND BEAST","A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",635,"2020-12-23 07:13:43","OKLAHOMA JUMANJI","A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",749,"2020-12-23 07:13:43","RULES HUMAN","A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",832,"2020-12-23 07:13:43","SPLASH GUMP","A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",939,"2020-12-23 07:13:43","VERTIGO NORTHWEST","A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",970,"2020-12-23 07:13:43","WESTWARD SEABISCUIT","A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China"
1,PENELOPE,GUINESS,"2020-12-23 07:12:29",980,"2020-12-23 07:13:43","WIZARD COLDBLOODED","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",3,"2020-12-23 07:13:43","ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",31,"2020-12-23 07:13:43","APACHE DIVINE","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",47,"2020-12-23 07:13:43","BABY HALL","A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",105,"2020-12-23 07:13:44","BULL SHAWSHANK","A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",132,"2020-12-23 07:13:44","CHAINSAW UPTOWN","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",145,"2020-12-23 07:13:44","CHISUM BEHAVIOR","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",226,"2020-12-23 07:13:44","DESTINY SATURDAY","A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",249,"2020-12-23 07:13:44","DRACULA CRYSTAL","A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",314,"2020-12-23 07:13:44","FIGHT JAWBREAKER","A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",321,"2020-12-23 07:13:44","FLASH WARS","A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico"
2,NICK,WAHLBERG,"2020-12-23 07:12:29",357,"2020-12-23 07:13:44","GILBERT PELICAN","A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse"
